accession,Strain,lineage,passed
GCA_002448115.1_ASM244811v1,TBDM2489,LIN-4,TRUE
GCA_002448135.1_ASM244813v1,TBDM2699,LIN-4,TRUE
GCA_002448155.1_ASM244815v1,TBDM2717,LIN-4,TRUE
GCA_002447175.1_ASM244717v1,TBDM425,LIN-4,TRUE
GCA_002104675.1_ASM210467v1,TBL1200985,NONE,FALSE
GCA_003293655.1_ASM329365v1,TBMENG-03,LIN-1,TRUE
GCA_001573045.1_xdr3v01,TBR-102,LIN-4,TRUE
GCA_001421035.1_xdr4v01,TBR-103,LIN-2,TRUE
GCA_001443105.1_xdr1v01,TBR-152,LIN-4,TRUE
GCA_001443085.1_xdr2v01,TBR-175,LIN-4,TRUE
GCA_002448175.1_ASM244817v1,TBV4766,LIN-4,TRUE
GCA_002448195.1_ASM244819v1,TBV4768,LIN-2,TRUE
GCA_002448215.1_ASM244821v1,TBV4952,LIN-4,TRUE
GCA_002447195.1_ASM244719v1,TBV5000,LIN-4,TRUE
GCA_002447215.1_ASM244721v1,TBV5362,LIN-4,TRUE
GCA_002447235.1_ASM244723v1,TBV5365,LIN-4,TRUE
GCA_001287365.1_bcg_Tice,Tice,LIN-B,TRUE
GCF_000671775.1_Myco_tube_TKK_02_0001_V1,TKK_02_0001,LIN-2,TRUE
GCF_000671795.1_Myco_tube_TKK_02_0002_V1,TKK_02_0002,LIN-2,TRUE
GCF_000671815.1_Myco_tube_TKK_02_0003_V1,TKK_02_0003,LIN-2,TRUE
GCF_000659205.1_Myco_tube_TKK_02_0004_V1,TKK_02_0004,LIN-4,TRUE
GCF_000659225.1_Myco_tube_TKK_02_0005_V1,TKK_02_0005,LIN-4,TRUE
GCF_000671835.1_Myco_tube_TKK_02_0006_V1,TKK_02_0006,LIN-4,TRUE
GCF_000659245.1_Myco_tube_TKK_02_0007_V1,TKK_02_0007,LIN-4,TRUE
GCF_000659265.1_Myco_tube_TKK_02_0008_V1,TKK_02_0008,LIN-4,TRUE
GCF_000659285.1_Myco_tube_TKK_02_0009_V1,TKK_02_0009,LIN-4,TRUE
GCF_000659305.1_Myco_tube_TKK_02_0010_V1,TKK_02_0010,LIN-2,TRUE
GCA_000659325.1_Myco_tube_TKK_02_0011_V1,TKK_02_0011,LIN-2,TRUE
GCF_000671855.1_Myco_tube_TKK_02_0012_V1,TKK_02_0012,LIN-4,TRUE
GCF_000671875.1_Myco_tube_TKK_02_0013_V1,TKK_02_0013,LIN-4,TRUE
GCF_000671895.1_Myco_tube_TKK_02_0014_V1,TKK_02_0014,LIN-4,TRUE
GCF_000671915.1_Myco_tube_TKK_02_0015_V1,TKK_02_0015,LIN-4,TRUE
GCF_000671935.1_Myco_tube_TKK_02_0016_V1,TKK_02_0016,LIN-4,TRUE
GCF_000671955.1_Myco_tube_TKK_02_0017_V1,TKK_02_0017,LIN-4,TRUE
GCF_000671975.1_Myco_tube_TKK_02_0018_V1,TKK_02_0018,LIN-4,TRUE
GCF_000671995.1_Myco_tube_TKK_02_0019_V1,TKK_02_0019,LIN-4,TRUE
GCF_000672015.1_Myco_tube_TKK_02_0020_V1,TKK_02_0020,LIN-4,TRUE
GCF_000672035.1_Myco_tube_TKK_02_0021_V1,TKK_02_0021,LIN-4,TRUE
GCF_000672055.1_Myco_tube_TKK_02_0022_V1,TKK_02_0022,LIN-4,TRUE
GCF_000659345.1_Myco_tube_TKK_02_0023_V1,TKK_02_0023,LIN-4,TRUE
GCF_000659365.1_Myco_tube_TKK_02_0024_V1,TKK_02_0024,LIN-4,TRUE
GCF_000672075.1_Myco_tube_TKK_02_0025_V1,TKK_02_0025,LIN-4,TRUE
GCF_000659385.1_Myco_tube_TKK_02_0026_V1,TKK_02_0026,LIN-4,TRUE
GCF_000672095.1_Myco_tube_TKK_02_0027_V1,TKK_02_0027,LIN-4,TRUE
GCF_000659405.1_Myco_tube_TKK_02_0028_V1,TKK_02_0028,LIN-4,TRUE
GCF_000659425.1_Myco_tube_TKK_02_0029_V1,TKK_02_0029,LIN-4,TRUE
GCF_000659445.1_Myco_tube_TKK_02_0030_V1,TKK_02_0030,LIN-4,TRUE
GCF_000659465.1_Myco_tube_TKK_02_0031_V1,TKK_02_0031,LIN-4,TRUE
GCF_000672115.1_Myco_tube_TKK_02_0033_V1,TKK_02_0033,LIN-4,TRUE
GCF_000672135.1_Myco_tube_TKK_02_0034_V1,TKK_02_0034,LIN-4,TRUE
GCF_000659485.1_Myco_tube_TKK_02_0035_V1,TKK_02_0035,LIN-4,TRUE
GCA_000672155.1_Myco_tube_TKK_02_0036_V1,TKK_02_0036,LIN-4,TRUE
GCF_000659505.1_Myco_tube_TKK_02_0037_V1,TKK_02_0037,LIN-4,TRUE
GCF_000672175.1_Myco_tube_TKK_02_0038_V1,TKK_02_0038,LIN-4,TRUE
GCF_000672195.1_Myco_tube_TKK_02_0039_V1,TKK_02_0039,LIN-4,TRUE
GCF_000659525.1_Myco_tube_TKK_02_0040_V1,TKK_02_0040,LIN-4,TRUE
GCF_000659545.1_Myco_tube_TKK_02_0041_V1,TKK_02_0041,LIN-4,TRUE
GCF_000659565.1_Myco_tube_TKK_02_0042_V1,TKK_02_0042,LIN-4,TRUE
GCF_000659585.1_Myco_tube_TKK_02_0043_V1,TKK_02_0043,LIN-4,TRUE
GCF_000659605.1_Myco_tube_TKK_02_0044_V1,TKK_02_0044,LIN-4,TRUE
GCF_000672215.1_Myco_tube_TKK_02_0045_V1,TKK_02_0045,LIN-4,TRUE
GCA_000672235.1_Myco_tube_TKK_02_0046_V1,TKK_02_0046,LIN-2,TRUE
GCF_000659625.1_Myco_tube_TKK_02_0047_V1,TKK_02_0047,LIN-4,TRUE
GCF_000659645.1_Myco_tube_TKK_02_0048_V1,TKK_02_0048,LIN-4,TRUE
GCF_000659665.1_Myco_tube_TKK_02_0049_V1,TKK_02_0049,LIN-4,TRUE
GCF_000659685.1_Myco_tube_TKK_02_0050_V1,TKK_02_0050,LIN-4,TRUE
GCF_000659705.1_Myco_tube_TKK_02_0051_V1,TKK_02_0051,LIN-4,TRUE
GCF_000672255.1_Myco_tube_TKK_02_0052_V1,TKK_02_0052,LIN-4,TRUE
GCF_000659725.1_Myco_tube_TKK_02_0053_V1,TKK_02_0053,LIN-4,TRUE
GCA_000659745.1_Myco_tube_TKK_02_0055_V1,TKK_02_0055,LIN-2,TRUE
GCF_000659765.1_Myco_tube_TKK_02_0056_V1,TKK_02_0056,LIN-4,TRUE
GCF_000659785.1_Myco_tube_TKK_02_0057_V1,TKK_02_0057,LIN-4,TRUE
GCF_000659805.1_Myco_tube_TKK_02_0058_V1,TKK_02_0058,LIN-4,TRUE
GCF_000659825.1_Myco_tube_TKK_02_0059_V1,TKK_02_0059,LIN-4,TRUE
GCF_000659845.1_Myco_tube_TKK_02_0060_V1,TKK_02_0060,LIN-4,TRUE
GCF_000672275.1_Myco_tube_TKK_02_0061_V1,TKK_02_0061,LIN-4,TRUE
GCA_000672295.1_Myco_tube_TKK_02_0062_V1,TKK_02_0062,LIN-3,TRUE
GCA_000672315.1_Myco_tube_TKK_02_0063_V1,TKK_02_0063,LIN-2,TRUE
GCF_000659865.1_Myco_tube_TKK_02_0065_V1,TKK_02_0065,LIN-4,TRUE
GCF_000659885.1_Myco_tube_TKK_02_0066_V1,TKK_02_0066,LIN-4,TRUE
GCF_000672455.1_Myco_tube_TKK_02_0067_V1,TKK_02_0067,LIN-4,TRUE
GCA_000672335.1_Myco_tube_TKK_02_0068_V1,TKK_02_0068,LIN-4,TRUE
GCA_000672355.1_Myco_tube_TKK_02_0069_V1,TKK_02_0069,LIN-4,TRUE
GCF_000672375.1_Myco_tube_TKK_02_0070_V1,TKK_02_0070,LIN-2,TRUE
GCF_000672395.1_Myco_tube_TKK_02_0071_V1,TKK_02_0071,LIN-4,TRUE
GCA_000672415.1_Myco_tube_TKK_02_0073_V1,TKK_02_0073,LIN-4,TRUE
GCF_000659905.1_Myco_tube_TKK_02_0074_V1,TKK_02_0074,LIN-4,TRUE
GCF_000659925.1_Myco_tube_TKK_02_0075_V1,TKK_02_0075,LIN-4,TRUE
GCF_000659945.1_Myco_tube_TKK_02_0076_V1,TKK_02_0076,LIN-4,TRUE
GCF_000672435.1_Myco_tube_TKK_02_0077_V1,TKK_02_0077,LIN-4,TRUE
GCF_000659965.1_Myco_tube_TKK_02_0079_V1,TKK_02_0079,LIN-4,TRUE
GCA_000659985.1_Myco_tube_TKK_02_0080_V1,TKK_02_0080,LIN-2,TRUE
GCA_000651335.1_Myco_tube_TKK_03_0012_V1,TKK_03_0012,LIN-2,TRUE
GCA_000651355.1_Myco_tube_TKK_03_0015_V1,TKK_03_0015,LIN-4,TRUE
GCA_000672475.1_Myco_tube_TKK_03_0018_V1,TKK_03_0018,LIN-4,TRUE
GCF_000672495.1_Myco_tube_TKK_03_0020_V1,TKK_03_0020,LIN-4,TRUE
GCF_000651375.1_Myco_tube_TKK_03_0021_V1,TKK_03_0021,LIN-4,TRUE
GCA_000672515.1_Myco_tube_TKK_03_0022_V1,TKK_03_0022,LIN-2,TRUE
GCA_000651395.1_Myco_tube_TKK_03_0023_V1,TKK_03_0023,LIN-4,TRUE
GCA_000651415.1_Myco_tube_TKK_03_0024_V1,TKK_03_0024,LIN-4,TRUE
GCF_000672535.1_Myco_tube_TKK_03_0025_V1,TKK_03_0025,LIN-2,TRUE
GCF_000672555.1_Myco_tube_TKK_03_0026_V1,TKK_03_0026,LIN-4,TRUE
GCF_000672575.1_Myco_tube_TKK_03_0027_V1,TKK_03_0027,LIN-2,TRUE
GCF_000651435.1_Myco_tube_TKK_03_0028_V1,TKK_03_0028,LIN-2,TRUE
GCF_000672595.1_Myco_tube_TKK_03_0029_V1,TKK_03_0029,LIN-1,TRUE
GCF_000672615.1_Myco_tube_TKK_03_0030_V1,TKK_03_0030,LIN-4,TRUE
GCF_000672635.1_Myco_tube_TKK_03_0031_V1,TKK_03_0031,LIN-2,TRUE
GCF_000672655.1_Myco_tube_TKK_03_0033_V1,TKK_03_0033,LIN-3,TRUE
GCA_000672675.1_Myco_tube_TKK_03_0034_V1,TKK_03_0034,LIN-2,TRUE
GCF_000651455.1_Myco_tube_TKK_03_0035_V1,TKK_03_0035,LIN-4,TRUE
GCF_000672695.1_Myco_tube_TKK_03_0036_V1,TKK_03_0036,LIN-4,TRUE
GCA_000651475.1_Myco_tube_TKK_03_0037_V1,TKK_03_0037,LIN-3,TRUE
GCA_000651495.1_Myco_tube_TKK_03_0038_V1,TKK_03_0038,"LIN-4 (0.585121784335), LIN-1 (0.414878215665)",FALSE
GCF_000651515.1_Myco_tube_TKK_03_0039_V1,TKK_03_0039,LIN-2,TRUE
GCF_000651535.1_Myco_tube_TKK_03_0040_V1,TKK_03_0040,LIN-2,TRUE
GCF_000651555.1_Myco_tube_TKK_03_0042_V1,TKK_03_0042,LIN-4,TRUE
GCF_000672715.1_Myco_tube_TKK_03_0043_V1,TKK_03_0043,LIN-2,TRUE
GCF_000651575.1_Myco_tube_TKK_03_0044_V1,TKK_03_0044,LIN-4,TRUE
GCF_000672735.1_Myco_tube_TKK_03_0045_V1,TKK_03_0045,LIN-2,TRUE
GCA_000651595.1_Myco_tube_TKK_03_0047_V1,TKK_03_0047,LIN-2,TRUE
GCA_000651615.1_Myco_tube_TKK_03_0050_V1,TKK_03_0050,LIN-4,TRUE
GCA_000651635.1_Myco_tube_TKK_03_0058_V1,TKK_03_0058,LIN-2,TRUE
GCF_000651655.1_Myco_tube_TKK_03_0059_V1,TKK_03_0059,LIN-4,TRUE
GCA_000651675.1_Myco_tube_TKK_03_0062_V1,TKK_03_0062,LIN-4,TRUE
GCF_000651695.1_Myco_tube_TKK_03_0063_V1,TKK_03_0063,LIN-4,TRUE
GCA_000651715.1_Myco_tube_TKK_03_0064_V1,TKK_03_0064,LIN-4,TRUE
GCF_000651735.1_Myco_tube_TKK_03_0065_V1,TKK_03_0065,LIN-2,TRUE
GCF_000651755.1_Myco_tube_TKK_03_0072_V1,TKK_03_0072,LIN-2,TRUE
GCF_000651775.1_Myco_tube_TKK_03_0075_V1,TKK_03_0075,LIN-2,TRUE
GCF_000672755.1_Myco_tube_TKK_03_0078_V1,TKK_03_0078,LIN-2,TRUE
GCF_000672775.1_Myco_tube_TKK_03_0081_V1,TKK_03_0081,LIN-4,TRUE
GCF_000672795.1_Myco_tube_TKK_03_0082_V1,TKK_03_0082,LIN-4,TRUE
GCF_000651795.1_Myco_tube_TKK_03_0083_V1,TKK_03_0083,LIN-2,TRUE
GCF_000651815.1_Myco_tube_TKK_03_0089_V1,TKK_03_0089,LIN-4,TRUE
GCF_000651835.1_Myco_tube_TKK_03_0090_V1,TKK_03_0090,LIN-2,TRUE
GCF_000651855.1_Myco_tube_TKK_03_0092_V1,TKK_03_0092,LIN-4,TRUE
GCF_000651875.1_Myco_tube_TKK_03_0094_V1,TKK_03_0094,LIN-4,TRUE
GCA_000651895.1_Myco_tube_TKK_03_0096_V1,TKK_03_0096,"LIN-4 (0.579754795072), LIN-2 (0.420245204928)",FALSE
GCF_000651915.1_Myco_tube_TKK_03_0098_V1,TKK_03_0098,LIN-4,TRUE
GCF_000651935.1_Myco_tube_TKK_03_0099_V1,TKK_03_0099,LIN-4,TRUE
GCF_000651955.1_Myco_tube_TKK_03_0100_V1,TKK_03_0100,LIN-2,TRUE
GCA_000651975.1_Myco_tube_TKK_03_0101_V1,TKK_03_0101,LIN-4,TRUE
GCA_000705765.1_Myco_tube_TKK_03_0102_V1,TKK_03_0102,LIN-4,TRUE
GCA_000651995.1_Myco_tube_TKK_03_0103_V1,TKK_03_0103,LIN-4,TRUE
GCA_000652015.1_Myco_tube_TKK_03_0105_V1,TKK_03_0105,LIN-4,TRUE
GCA_000652035.1_Myco_tube_TKK_03_0106_V1,TKK_03_0106,LIN-4,TRUE
GCA_000652055.1_Myco_tube_TKK_03_0108_V1,TKK_03_0108,LIN-4,TRUE
GCF_000652075.1_Myco_tube_TKK_03_0109_V1,TKK_03_0109,LIN-2,TRUE
GCF_000652095.1_Myco_tube_TKK_03_0111_V1,TKK_03_0111,LIN-2,TRUE
GCF_000652115.1_Myco_tube_TKK_03_0112_V1,TKK_03_0112,LIN-2,TRUE
GCA_000652135.1_Myco_tube_TKK_03_0113_V1,TKK_03_0113,LIN-4,TRUE
GCF_000652155.1_Myco_tube_TKK_03_0114_V1,TKK_03_0114,LIN-2,TRUE
GCF_000652175.1_Myco_tube_TKK_03_0115_V1,TKK_03_0115,LIN-4,TRUE
GCA_000652195.1_Myco_tube_TKK_03_0116_V1,TKK_03_0116,LIN-1,TRUE
GCF_000652215.1_Myco_tube_TKK_03_0118_V1,TKK_03_0118,LIN-2,TRUE
GCF_000652235.1_Myco_tube_TKK_03_0149_V1,TKK_03_0149,LIN-2,TRUE
GCA_000652255.1_Myco_tube_TKK_03_0150_V1,TKK_03_0150,LIN-4,TRUE
GCF_000652275.1_Myco_tube_TKK_03_0153_V1,TKK_03_0153,LIN-4,TRUE
GCF_000652295.1_Myco_tube_TKK_03_0154_V1,TKK_03_0154,LIN-2,TRUE
GCF_000652315.1_Myco_tube_TKK_03_0156_V1,TKK_03_0156,LIN-2,TRUE
GCF_000652335.1_Myco_tube_TKK_03_0158_V1,TKK_03_0158,LIN-4,TRUE
GCF_000652355.1_Myco_tube_TKK_03_0159_V1,TKK_03_0159,LIN-4,TRUE
GCF_000652375.1_Myco_tube_TKK_03_0160_V1,TKK_03_0160,LIN-2,TRUE
GCF_000672815.1_Myco_tube_TKK_04_0001_V1,TKK_04_0001,LIN-2,TRUE
GCA_000672835.1_Myco_tube_TKK_04_0002_V1,TKK_04_0002,LIN-4,TRUE
GCA_000672855.1_Myco_tube_TKK_04_0003_V1,TKK_04_0003,LIN-1,TRUE
GCA_000673135.1_Myco_tube_TKK_04_0005_V1,TKK_04_0005,LIN-1,TRUE
GCF_000672875.1_Myco_tube_TKK_04_0006_V1,TKK_04_0006,LIN-2,TRUE
GCF_000673155.1_Myco_tube_TKK_04_0007_V1,TKK_04_0007,LIN-4,TRUE
GCF_000673175.1_Myco_tube_TKK_04_0008_V1,TKK_04_0008,LIN-4,TRUE
GCF_000673195.1_Myco_tube_TKK_04_0013_V1,TKK_04_0013,LIN-4,TRUE
GCA_000672895.1_Myco_tube_TKK_04_0014_V1,TKK_04_0014,LIN-2,TRUE
GCF_000672915.1_Myco_tube_TKK_04_0015_V1,TKK_04_0015,LIN-4,TRUE
GCF_000672935.1_Myco_tube_TKK_04_0017_V1,TKK_04_0017,LIN-2,TRUE
GCF_000672955.1_Myco_tube_TKK_04_0018_V1,TKK_04_0018,LIN-2,TRUE
GCF_000672975.1_Myco_tube_TKK_04_0019_V1,TKK_04_0019,LIN-2,TRUE
GCF_000673215.1_Myco_tube_TKK_04_0020_V1,TKK_04_0020,LIN-1,TRUE
GCF_000672995.1_Myco_tube_TKK_04_0021_V1,TKK_04_0021,LIN-4,TRUE
GCA_000673015.1_Myco_tube_TKK_04_0022_V1,TKK_04_0022,LIN-4,TRUE
GCA_000673035.1_Myco_tube_TKK_04_0023_V1,TKK_04_0023,LIN-2,TRUE
GCF_000673055.1_Myco_tube_TKK_04_0024_V1,TKK_04_0024,LIN-4,TRUE
GCF_000673435.1_Myco_tube_TKK_04_0029_V1,TKK_04_0029,LIN-4,TRUE
GCF_000673455.1_Myco_tube_TKK_04_0030_V1,TKK_04_0030,LIN-4,TRUE
GCF_000673475.1_Myco_tube_TKK_04_0031_V1,TKK_04_0031,LIN-4,TRUE
GCA_000673495.1_Myco_tube_TKK_04_0033_V1,TKK_04_0033,LIN-2,TRUE
GCF_000673235.1_Myco_tube_TKK_04_0034_V1,TKK_04_0034,LIN-4,TRUE
GCF_000673255.1_Myco_tube_TKK_04_0036_V1,TKK_04_0036,LIN-4,TRUE
GCF_000673415.1_Myco_tube_TKK_04_0037_V1,TKK_04_0037,LIN-4,TRUE
GCF_000673275.1_Myco_tube_TKK_04_0038_V1,TKK_04_0038,LIN-4,TRUE
GCF_000673295.1_Myco_tube_TKK_04_0039_V1,TKK_04_0039,LIN-4,TRUE
GCF_000673315.1_Myco_tube_TKK_04_0040_V1,TKK_04_0040,LIN-4,TRUE
GCF_000673395.1_Myco_tube_TKK_04_0042_V1,TKK_04_0042,LIN-4,TRUE
GCF_000673075.1_Myco_tube_TKK_04_0043_V1,TKK_04_0043,LIN-4,TRUE
GCF_000673335.1_Myco_tube_TKK_04_0044_V1,TKK_04_0044,LIN-4,TRUE
GCF_000673355.1_Myco_tube_TKK_04_0045_V1,TKK_04_0045,LIN-4,TRUE
GCF_000673375.1_Myco_tube_TKK_04_0046_V1,TKK_04_0046,LIN-4,TRUE
GCA_000673095.1_Myco_tube_TKK_04_0047_V1,TKK_04_0047,LIN-4,TRUE
GCF_000673115.1_Myco_tube_TKK_04_0048_V1,TKK_04_0048,LIN-4,TRUE
GCF_000652395.1_Myco_tube_TKK_04_0051_V1,TKK_04_0051,LIN-4,TRUE
GCF_000652415.1_Myco_tube_TKK_04_0054_V1,TKK_04_0054,LIN-2,TRUE
GCF_000652435.1_Myco_tube_TKK_04_0059_V1,TKK_04_0059,LIN-4,TRUE
GCF_000652455.1_Myco_tube_TKK_04_0060_V1,TKK_04_0060,LIN-4,TRUE
GCF_000652475.1_Myco_tube_TKK_04_0061_V1,TKK_04_0061,LIN-4,TRUE
GCF_000658575.1_Myco_tube_TKK_04_0062_V1,TKK_04_0062,LIN-4,TRUE
GCF_000652495.1_Myco_tube_TKK_04_0063_V1,TKK_04_0063,LIN-4,TRUE
GCF_000652515.1_Myco_tube_TKK_04_0064_V1,TKK_04_0064,LIN-4,TRUE
GCF_000652535.1_Myco_tube_TKK_04_0066_V1,TKK_04_0066,LIN-4,TRUE
GCF_000652555.1_Myco_tube_TKK_04_0067_V1,TKK_04_0067,LIN-4,TRUE
GCF_000652575.1_Myco_tube_TKK_04_0068_V1,TKK_04_0068,LIN-4,TRUE
GCF_000652595.1_Myco_tube_TKK_04_0069_V1,TKK_04_0069,LIN-4,TRUE
GCF_000652615.1_Myco_tube_TKK_04_0070_V1,TKK_04_0070,LIN-4,TRUE
GCF_000652635.1_Myco_tube_TKK_04_0071_V1,TKK_04_0071,LIN-4,TRUE
GCF_000652655.1_Myco_tube_TKK_04_0072_V1,TKK_04_0072,LIN-4,TRUE
GCA_000653855.1_Myco_tube_TKK_04_0074_V1,TKK_04_0074,LIN-4,TRUE
GCF_000652675.1_Myco_tube_TKK_04_0075_V1,TKK_04_0075,LIN-4,TRUE
GCF_000652695.1_Myco_tube_TKK_04_0078_V1,TKK_04_0078,LIN-4,TRUE
GCF_000652715.1_Myco_tube_TKK_04_0079_V1,TKK_04_0079,LIN-4,TRUE
GCA_000652735.1_Myco_tube_TKK_04_0080_V1,TKK_04_0080,LIN-1,TRUE
GCF_000652755.1_Myco_tube_TKK_04_0081_V1,TKK_04_0081,LIN-4,TRUE
GCF_000652775.1_Myco_tube_TKK_04_0082_V1,TKK_04_0082,LIN-4,TRUE
GCF_000652795.1_Myco_tube_TKK_04_0083_V1,TKK_04_0083,LIN-4,TRUE
GCF_000652815.1_Myco_tube_TKK_04_0084_V1,TKK_04_0084,LIN-2,TRUE
GCA_000653875.1_Myco_tube_TKK_04_0085_V1,TKK_04_0085,LIN-1,TRUE
GCF_000652835.1_Myco_tube_TKK_04_0086_V1,TKK_04_0086,LIN-2,TRUE
GCA_000653895.1_Myco_tube_TKK_04_0089_V1,TKK_04_0089,LIN-2,TRUE
GCA_000653915.1_Myco_tube_TKK_04_0090_V1,TKK_04_0090,LIN-4,TRUE
GCA_000653935.1_Myco_tube_TKK_04_0094_V1,TKK_04_0094,LIN-4,TRUE
GCA_000658695.1_Myco_tube_TKK_04_0095_V1,TKK_04_0095,LIN-4,TRUE
GCA_000653955.1_Myco_tube_TKK_04_0096_V1,TKK_04_0096,LIN-4,TRUE
GCA_000658715.1_Myco_tube_TKK_04_0097_V1,TKK_04_0097,LIN-4,TRUE
GCA_000653975.1_Myco_tube_TKK_04_0098_V1,TKK_04_0098,LIN-2,TRUE
GCF_000653995.1_Myco_tube_TKK_04_0099_V1,TKK_04_0099,LIN-4,TRUE
GCA_000654015.1_Myco_tube_TKK_04_0103_V1,TKK_04_0103,LIN-4,TRUE
GCF_000657075.1_Myco_tube_TKK_04_0104_V1,TKK_04_0104,LIN-4,TRUE
GCF_000654035.1_Myco_tube_TKK_04_0105_V1,TKK_04_0105,LIN-4,TRUE
GCF_000654055.1_Myco_tube_TKK_04_0106_V1,TKK_04_0106,LIN-4,TRUE
GCA_000654075.1_Myco_tube_TKK_04_0107_V1,TKK_04_0107,LIN-2,TRUE
GCA_000658735.1_Myco_tube_TKK_04_0108_V1,TKK_04_0108,LIN-4,TRUE
GCF_000654095.1_Myco_tube_TKK_04_0109_V1,TKK_04_0109,LIN-4,TRUE
GCA_000658755.1_Myco_tube_TKK_04_0112_V1,TKK_04_0112,LIN-4,TRUE
GCA_000654115.1_Myco_tube_TKK_04_0113_V1,TKK_04_0113,LIN-4,TRUE
GCA_000654135.1_Myco_tube_TKK_04_0114_V1,TKK_04_0114,LIN-2,TRUE
GCF_000654155.1_Myco_tube_TKK_04_0117_V1,TKK_04_0117,LIN-4,TRUE
GCA_000658775.1_Myco_tube_TKK_04_0118_V1,TKK_04_0118,LIN-4,TRUE
GCA_000654175.1_Myco_tube_TKK_04_0120_V1,TKK_04_0120,LIN-1,TRUE
GCF_000654195.1_Myco_tube_TKK_04_0122_V1,TKK_04_0122,LIN-4,TRUE
GCF_000654215.1_Myco_tube_TKK_04_0123_V1,TKK_04_0123,LIN-4,TRUE
GCF_000706565.1_Myco_tube_TKK_04_0124_V1,TKK_04_0124,LIN-4,TRUE
GCA_000656695.1_Myco_tube_TKK_04_0125_V1,TKK_04_0125,LIN-4,TRUE
GCF_000656715.1_Myco_tube_TKK_04_0126_V1,TKK_04_0126,LIN-2,TRUE
GCF_000656735.1_Myco_tube_TKK_04_0129_V1,TKK_04_0129,LIN-4,TRUE
GCF_000656755.1_Myco_tube_TKK_04_0130_V1,TKK_04_0130,LIN-4,TRUE
GCA_000656775.1_Myco_tube_TKK_04_0131_V1,TKK_04_0131,LIN-2,TRUE
GCF_000656795.1_Myco_tube_TKK_04_0132_V1,TKK_04_0132,LIN-4,TRUE
GCA_000656815.1_Myco_tube_TKK_04_0134_V1,TKK_04_0134,LIN-2,TRUE
GCA_000656835.1_Myco_tube_TKK_04_0136_V1,TKK_04_0136,LIN-2,TRUE
GCF_000656855.1_Myco_tube_TKK_04_0137_V1,TKK_04_0137,LIN-4,TRUE
GCA_000656875.1_Myco_tube_TKK_04_0139_V1,TKK_04_0139,LIN-3,TRUE
GCA_000656895.1_Myco_tube_TKK_04_0140_V1,TKK_04_0140,LIN-4,TRUE
GCA_000658795.1_Myco_tube_TKK_04_0141_V1,TKK_04_0141,LIN-4,TRUE
GCA_000656915.1_Myco_tube_TKK_04_0145_V1,TKK_04_0145,LIN-4,TRUE
GCA_000656935.1_Myco_tube_TKK_04_0148_V1,TKK_04_0148,LIN-3,TRUE
GCA_000656955.1_Myco_tube_TKK_04_0149_V1,TKK_04_0149,LIN-2,TRUE
GCA_000656975.1_Myco_tube_TKK_04_0150_V1,TKK_04_0150,LIN-4,TRUE
GCA_000656995.1_Myco_tube_TKK_04_0153_V1,TKK_04_0153,LIN-4,TRUE
GCA_000657015.1_Myco_tube_TKK_04_0155_V1,TKK_04_0155,LIN-4,TRUE
GCA_000658815.1_Myco_tube_TKK_04_0157_V1,TKK_04_0157,LIN-4,TRUE
GCA_000657035.1_Myco_tube_TKK_04_0158_V1,TKK_04_0158,LIN-4,TRUE
GCF_000657055.1_Myco_tube_TKK_04_0159_V1,TKK_04_0159,LIN-2,TRUE
GCF_000652855.1_Myco_tube_TKK_05MA_0001_V1,TKK_05MA_0001,LIN-4,TRUE
GCA_000652875.1_Myco_tube_TKK_05MA_0004_V1,TKK_05MA_0004,LIN-4,TRUE
GCA_000658595.1_Myco_tube_TKK_05MA_0009_V1,TKK_05MA_0009,LIN-4,TRUE
GCA_000652895.1_Myco_tube_TKK_05MA_0010_V1,TKK_05MA_0010,LIN-4,TRUE
GCA_000652915.1_Myco_tube_TKK_05MA_0011_V1,TKK_05MA_0011,LIN-4,TRUE
GCA_000652935.1_Myco_tube_TKK_05MA_0012_V1,TKK_05MA_0012,LIN-4,TRUE
GCA_000652955.1_Myco_tube_TKK_05MA_0016_V1,TKK_05MA_0016,LIN-4,TRUE
GCA_000652975.1_Myco_tube_TKK_05MA_0017_V1,TKK_05MA_0017,LIN-2,TRUE
GCA_000652995.1_Myco_tube_TKK_05MA_0018_V1,TKK_05MA_0018,LIN-4,TRUE
GCA_000653015.1_Myco_tube_TKK_05MA_0020_V1,TKK_05MA_0020,LIN-4,TRUE
GCA_000653035.1_Myco_tube_TKK_05MA_0025_V1,TKK_05MA_0025,LIN-4,TRUE
GCF_000653055.1_Myco_tube_TKK_05MA_0026_V1,TKK_05MA_0026,LIN-4,TRUE
GCA_000653075.1_Myco_tube_TKK_05MA_0031_V1,TKK_05MA_0031,LIN-2,TRUE
GCA_000653095.1_Myco_tube_TKK_05MA_0033_V1,TKK_05MA_0033,LIN-4,TRUE
GCA_000653115.1_Myco_tube_TKK_05MA_0035_V1,TKK_05MA_0035,LIN-4,TRUE
GCA_000653135.1_Myco_tube_TKK_05MA_0036_V1,TKK_05MA_0036,LIN-4,TRUE
GCA_000653155.1_Myco_tube_TKK_05MA_0037_V1,TKK_05MA_0037,LIN-4,TRUE
GCA_000653175.1_Myco_tube_TKK_05MA_0040_V1,TKK_05MA_0040,LIN-4,TRUE
